full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,project_age_days
opendatalab/MinerU,https://github.com/opendatalab/MinerU,Python,61104,2024-02-29 08:52:34+00:00,0,1,477.97,0.5052777777777777,5.177638888888889,72,0.9094,24,0.0,1,1.0,1,0.96,1,10.807,5.8182,10.59,0.0,86,0.0072,0.0,4702,235100,376160,2351,25077.3,36.4,889.63,142340.3,41017.6,80.9,787
commaai/openpilot,https://github.com/commaai/openpilot,Python,60722,2016-11-24 01:33:30+00:00,0,1,379.12,51.22625,43.11722222222223,426,0.2343,44,0.0,1,2.0,1,0.8,0,12.23,-5.7273,50.95,0.14,153,0.3904,0.0,16302,815100,1304160,8151,86944.0,21822.4,2735.16,437625.5,137543.8,82.7,3440
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,59638,2019-05-26 08:56:15+00:00,46,1,8.84,9.917916666666668,1309.0636111111112,17,0.9307,42,0.0,1,1.0,1,0.8889,1,11.038,-0.0035,0.0,0.15,30,0.0,0.0,274,13700,21920,137,1461.3,168.6,44.97,7195.6,2220.4,63.7,2481
docling-project/docling,https://github.com/docling-project/docling,Python,58521,2024-07-09 07:50:26+00:00,0,1,100.73,1.5116666666666667,53.86972222222222,211,0.2324,91,0.0,1,2.0,1,0.72,1,5.988,1.0385,3.1,0.07,206,0.007,0.0,826,41300,66080,413,4405.3,319.0,119.39,19102.0,6118.8,85.1,656
microsoft/autogen,https://github.com/microsoft/autogen,Python,57403,2023-08-18 11:43:45+00:00,9,1,296.81,6.059722222222222,139.98888888888888,443,0.131,77,0.0,1,1.0,1,0.16,0,12.783,0.0315,8.73,0.19,0,0.384,0.0,3610,180500,288800,1805,19253.3,2684.5,561.71,89873.6,28406.7,82.9,973
ultralytics/yolov5,https://github.com/ultralytics/yolov5,Python,57290,2020-05-18 03:45:11+00:00,1,1,105.17,10.392777777777775,1005.8025,331,0.7653,55,0.0,1,1.0,1,0.96,0,9.084,0.2378,54.61,0.23,34,0.0156,0.0,2850,142500,228000,1425,15200.0,3440.0,525.89,84143.0,25460.6,77.3,2168
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,Python,57253,2024-11-29 16:30:01+00:00,0,1,126.16,10.561666666666667,21.15361111111111,36,0.9184,20,0.0,1,1.0,1,1.0,1,14.55,0.4476,0.0,0.19,28,0.3985,0.0,809,40450,64720,404,4314.7,380.2,140.17,22427.3,6756.9,78.0,513
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,Python,57205,2023-05-02 09:15:31+00:00,57,1,24.32,17.7675,52.58,88,0.3885,35,0.0,1,1.0,1,0.4,1,14.241,-0.035,37.75,0.0,121,0.2423,0.0,314,15700,25120,157,1674.7,1563.5,43.24,6918.7,2690.1,71.1,1033
666ghj/MiroFish,https://github.com/666ghj/MiroFish,Python,57193,2025-11-26 04:23:02+00:00,22,1,161.24,9.547777777777778,20.63305555555556,3,0.8654,2,0.0,1,0.0,1,0.3,0,4.606,0.2727,6.58,0.11,13,0.4234,0.0,260,13000,20800,130,1386.7,28.6,42.56,6810.1,2064.0,50.7,129
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,Python,57131,2022-12-28 00:51:12+00:00,163,1,15.82,82.13777777777777,94.89472222222224,35,0.774,35,0.0,1,0.0,0,0.0,0,15.912,0.0,0.0,0.34,0,0.0,0.0,208,10400,16640,104,1109.3,2874.8,33.67,5387.6,2494.6,41.8,1052
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,Python,56949,2024-01-14 18:05:21+00:00,5,1,99.15,2.0105555555555554,70.82055555555556,95,0.5893,67,0.0,1,0.0,1,0.0,0,3.734,0.3217,67.11,0.13,13,0.0295,0.0,1025,51250,82000,512,5466.7,191.0,149.76,23961.3,7582.9,78.7,827
soimort/you-get,https://github.com/soimort/you-get,Python,56839,2012-08-20 15:53:36+00:00,12,1,40.26,8.670694444444445,0.0,226,0.6664,54,0.0,1,0.0,1,0.0,1,15.436,0.0,96.72,0.37,0,0.0059,0.0,2509,125450,200720,1254,13381.3,1959.6,383.36,61337.4,19546.0,82.3,4985
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,Python,56385,2022-09-11 16:39:45+00:00,0,1,232.62,3.5866666666666664,26.70805555555556,350,0.4024,73,0.0,1,1.0,1,0.94,1,8.281,1.5734,2.9,0.07,168,0.0038,0.0,3847,192350,307760,1923,20517.3,1255.3,600.49,96078.9,29851.0,86.0,1323
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,Python,56368,2024-03-11 02:57:34+00:00,3,1,28.87,2.5316666666666663,1492.0411111111111,35,0.638,30,0.0,1,1.0,1,0.5,1,11.176,0.8042,103.81,0.36,8,0.0189,0.0,279,13950,22320,139,1488.0,88.6,38.2,6111.3,1992.8,72.6,773
Textualize/rich,https://github.com/Textualize/rich,Python,56193,2019-11-10 15:28:09+00:00,12,1,141.59,6.857638888888889,32.10069444444444,266,0.72,78,0.0,1,2.0,1,0.44,1,14.606,0.6923,47.31,0.59,34,0.0006,0.0,4154,207700,332320,2077,22154.7,1824.1,781.09,124974.3,36619.4,81.8,2347
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,Python,55902,2025-03-06 14:08:14+00:00,72,1,116.05,6.039166666666667,1096.4170833333333,52,0.2926,41,0.0,1,0.0,1,0.94,1,6.457,0.0,0.0,0.32,11,0.0215,0.0,499,24950,39920,249,2661.3,314.0,70.33,11252.7,3675.4,73.6,344
